,base_0,base_1,base_2,rag 0,rag 1,rag 2,graph rag 0,graph rag 1,graph rag 2,agent 0,agent 1,agent 2,combi 0,combi 1,combi 2
precision (%),0.23803418802112608,0.2790598290431617,0.2864468864303438,0.19109686609003615,0.2911172161016248,0.3380952380785822,0.19288678309566984,0.15842490842007195,0.10398860398312756,0.20329670329017022,0.20066512434341807,0.18821178820779982,0.3287240537156438,0.2615083634213096,0.32069597068691497
recall (%),0.18307433306599552,0.16985535830821608,0.15426610426163537,0.20789452711491885,0.25462315460959833,0.2739963739830963,0.21082621081915262,0.20551670550806625,0.11680911680171732,0.21837606836893095,0.22646520145839125,0.25213675212683023,0.40617715616170597,0.3617877492718898,0.36025641023950117
f1 (%),0.19322224615893044,0.20000078268798996,0.1914271625776011,0.17679713448627324,0.24054748669567216,0.2768523873722878,0.18099336560569812,0.1726752779355906,0.10826210825912078,0.1991870621685638,0.20830910830612226,0.20500354346259028,0.3420496215647281,0.283821144593049,0.31657113316540375
speed (s),30.362717157755142,29.20200067300063,30.13693245863303,117.16252853320195,113.74057094256084,101.67406824918893,318.00476088279333,343.9846796500377,344.6213834530268,842.0525810046074,853.5273833152576,810.4330469217056,1639.90965063144,1577.5455975899329,1484.4385216602911
n_token,1904.3076923076924,1844.7692307692307,1894.871794871795,4701.589743589743,4976.897435897436,4560.871794871795,6636.5641025641025,6916.692307692308,7123.641025641025,4756.0,4731.589743589743,4812.051282051282,5479.615384615385,5673.128205128205,4987.5641025641025
