,base_0,base_1,base_2,rag 0,rag 1,rag 2,graph rag 0,graph rag 1,graph rag 2
precision,0.20002220001654014,0.20399877899081592,0.16363451362934495,0.14652014651304726,0.18247863246948787,0.06623931623673433,0.1145299145264416,0.12564102563451707,0.15811965811432335
recall,0.18398638398128694,0.18113553112886846,0.13025030524706369,0.09930809930464855,0.10561660561381256,0.05341880341686254,0.08609584859326644,0.07250712250455167,0.11806004452697054
f1,0.17339653810032848,0.18249898249569532,0.13538221038050738,0.11042461811499205,0.12850073902501308,0.05512820512725922,0.0911939911927303,0.08584741159821095,0.1300536065221619
speed,28.08487954506507,28.447962712018917,25.545807184317173,445.2255241687481,583.3003016251785,801.8426137642982,772.926757586308,802.3754335427896,593.4660794001359
n_token,556.0,569.6923076923077,534.2307692307693,20268.333333333332,20823.82051282051,21124.923076923078,21703.20512820513,20459.23076923077,21556.46153846154
